ID,Number,Evidence,Speaker,Utterance
1,0,-,Input,"Premise: A black man, wearing a cap, is sitting in a bus. Hypothesis: A man is traveling on public transportation. Human1: neutral Human2: entailment"
1,1,Unrelated,Human2,Okay. So let's get started.
1,2,Unrelated,Human1,Okay. So do you want to? 
1,3,Unrelated,Human2,Yes.
1,4,Unrelated,Human1,Sure.
1,5,TRUE,Human2,"So I think the reason why I annotated as entailment is I think because the man is seating on the bus, so the bus is used for public transportations. They don't sit there for fun. Yeah."
1,6,FALSE,Human1,"I assumed that bus may not always be public transportation, like you can own a bus or something. So yeah, it's probably overthinking."
1,7,TRUE,Human2,"Yeah, I think I also have similar problems when I'm thinking about corner cases. It seems like it can't always be like false, so I think it was talked about like more general or like, I don't know, like more general cases. Yeah, it can be the entitlement. Yeah, I think."
1,8,TRUE,Human1,"Yeah. I mean, we usually talk of bus in the context of public transportation. Yeah, maybe it can be."
1,9,Unrelated,Human2,"Okay, so let's do that as in common."
1,-,-,Output,Predict: entailment
2,0,-,Input,Premise: Two boys are holding red kites with water in the background. Hypothesis: Persons are involved in outdoor recreation. Human1: neutral Human2: entailment
2,1,TRUE,Human1,"I assume that. Yeah, this can be like several things. So like people do have pools inside their homes and stuff like that. So it's not necessary that it's outdoor. And that's why I kind of."
2,2,Unrelated,Human2,I see.
2,3,FALSE,Human1,Or it can also mean that there's a painting and there's water or something like that.
2,4,TRUE,Human2,"I think you're right. Though originally I thought like water in the background was like in their backyard or something. That was like my thoughts. But yeah, I agree that water. Like, yeah, holding a racquet and with water doesn't necessarily infer it's outdoor activity. Yeah. Yeah. Okay."
2,-,-,Output,Predict: neutral
3,0,-,Input,Premise: A man in a leather jacket with the collar popped kisses the neck of a woman in a gray coat wearing a white scarf. Hypothesis: a couple are reunited Human1: entailment Human2: neutral
3,1,TRUE,Human1,"The third one, I wrote entailment, I assumed the description. I thought they might just be it is not necessary like a reunited."
3,2,Unrelated,Human2,"Oh, yeah. Yeah. Yeah. Yeah. I thought they might just be it is not necessary like a reunited."
3,3,Unrelated,Human1,"That's right. Yeah. Yeah. I just I mean, yeah."
3,-,-,Output,Predict: entailment
4,0,-,Input,Premise: A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass. Hypothesis: A women in black drinks. Human1: entailment Human2: neutral
4,1,TRUE,Human2,"I think the problem I had was it doesn't say the woman is in black drink, right? It only has this black shirt. Yeah. I was confused about this, because I didn't understand what is the black drink? "
4,2,Unrelated,Human1,Yeah. Yeah. 
4,3,FALSE,Human2,"Yeah. I was confused about this, because I didn't understand what is the black drink? "
4,4,TRUE,Human1,Woman in a black drink?
4,5,FALSE,Human2,"Yeah. Maybe that's a typo. That is a woman in black shirt. Yeah, because it only says the woman in black shirt drink from a glass doesn't
say like a black drink. This was a weird case."
4,6,TRUE,Human1,The woman in a black drinks. Not drink. 
4,7,Unrelated,Human2,"Okay, you're right. Yeah. Okay. Okay. Yeah. Yeah. That's my way of mistake and parsing of the sentence. You're right. You're right. Yeah. Okay."
4,-,-,Output,Predict: entailment
5,0,-,Input,Premise: A man is standing in the aisle of a grocery store and staring at the cereal selection. Hypothesis: A man is selecting cereal in a grocery store. Human1: neutral Human2: entailment
5,1,TRUE,Human1,Okay. For this I was I probably I thought that if he was staring does not mean he's selecting.
5,2,TRUE,Human2,"I think when I was annotating this, I have the similar feeling. And because you end up as neutral, I would actually like tend to actually also annotate as neutral.  Yes. Yeah, because staring at the section that means it's selecting something probably just thinking about something else, right? "
5,3,TRUE,Human1,"Yeah, probably. He's just like, yeah, he's just looking at some serious because he seems a lot or something like that."
5,4,Unrelated,Human2,Right. Maybe he's hungry.
5,5,Unrelated,Human1,Yeah. That's most probable of them all.
5,-,-,Output,Predict: neutral
6,0,-,Input,Premise: The little girl in yellow is touching the dad who has shaving cream on his face. Hypothesis: A little girl is shaving her fathers head Human1: neutral Human2: contradiction
6,1,FALSE,Human2,Okay. So I guess the reason why I annotated as contradiction is because the girl is touching her dad. So she is not like shaving.
6,2,TRUE,Human1,"Yeah, makes sense. I just thought, I just couldn't find a relation. I thought anything is possible. "
6,3,TRUE,Human2,"Yeah, maybe she can like touch channels."
6,4,Unrelated,Human1,Yeah. Yeah.
6,5,TRUE,Human2,"Yeah, I think you are right. It doesn't indicate the like, it doesn't rule out the possibility of she's shaving."
6,6,TRUE,Human1,"I mean, I think while shaving should anyway need to touch."
6,7,TRUE,Human2,"Yeah, like, yeah, like, maybe just fix the, like the hand position. Yeah, makes sense. Because people have two hands, they can do this. Yeah, makes sense. Yeah. Right. "
6,-,-,Output,Predict: neutral
